RN;SAT;Região;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondulação (N) Conexão *;Ondulação (N) MAPGEO2015 **;Discrepâncias dif.Conexão_X_MAPGEO2015;Link do SAT no Banco de Dados
1190A;91327;CENTRO-OESTE;DISTRITO FEDERAL;-15,97881267;-47,81956722;1059,4979;1046,867;-12,6309;-12,57;-0,0609;#REF!
1190C;91329;CENTRO-OESTE;DISTRITO FEDERAL;-16,01976711;-47,80082047;882,4898;869,761;-12,7288;-12,59;-0,1388;#REF!
2194B;91319;CENTRO-OESTE;DISTRITO FEDERAL;-15,56334322;-47,65919128;1015,9372;1002,807;-13,1302;-12,98;-0,1502;#REF!
2194D;91320;CENTRO-OESTE;DISTRITO FEDERAL;-15,53049706;-47,62543503;1037,8666;1024,758;-13,1086;-13,08;-0,0286;#REF!
2223M;91332;CENTRO-OESTE;DISTRITO FEDERAL;-15,93774675;-47,80751133;1041,0164;1028,741;-12,2754;-12,58;0,3046;#REF!
2223S;91326;CENTRO-OESTE;DISTRITO FEDERAL;-15,94799675;-47,71232339;1012,9521;1000,167;-12,7851;-12,77;-0,0151;#REF!
2223X;91316;CENTRO-OESTE;DISTRITO FEDERAL;-15,96036078;-47,63695192;963,8676;951,03;-12,8376;-12,73;-0,1076;#REF!
2224E;91318;CENTRO-OESTE;DISTRITO FEDERAL;-16,02463192;-47,54575956;1038,453;1025,616;-12,837;-12,79;-0,047;#REF!
2226G;91321;CENTRO-OESTE;DISTRITO FEDERAL;-15,85077928;-47,62406494;1048,3217;1035,494;-12,8277;-12,76;-0,0677;#REF!
2226N;91322;CENTRO-OESTE;DISTRITO FEDERAL;-15,73390819;-47,66161067;923,6838;910,795;-12,8888;-12,79;-0,0988;#REF!
2227C;91323;CENTRO-OESTE;DISTRITO FEDERAL;-16,03741039;-47,41391667;872,0277;859,058;-12,9697;-12,84;-0,1297;#REF!
2227P;91324;CENTRO-OESTE;DISTRITO FEDERAL;-15,79005311;-47,38055708;940,7088;927,563;-13,1458;-12,99;-0,1558;#REF!
2227Z;91325;CENTRO-OESTE;DISTRITO FEDERAL;-15,62896672;-47,35662889;918,8448;905,579;-13,2658;-13,19;-0,0758;#REF!
2263R;91330;CENTRO-OESTE;DISTRITO FEDERAL;-15,69384347;-48,21695503;1076,3926;1064,109;-12,2836;-12,27;-0,0136;#REF!
2264G;91328;CENTRO-OESTE;DISTRITO FEDERAL;-15,55604203;-48,19596836;940,2857;927,434;-12,8517;-12,82;-0,0317;#REF!
2369V;91200;CENTRO-OESTE;DISTRITO FEDERAL;-15,94747533;-47,87786897;1118,4798;1106,018;-12,4618;-12,46;-0,0018;#REF!
2378G;91166;CENTRO-OESTE;DISTRITO FEDERAL;-15,94780003;-47,87698022;1113,6086;1101,08;-12,5286;-12,46;-0,0686;#REF!
2378H;91167;CENTRO-OESTE;DISTRITO FEDERAL;-15,94676344;-47,87862483;1108,2206;1095,701;-12,5196;-12,45;-0,0696;#REF!
2378J;91168;CENTRO-OESTE;DISTRITO FEDERAL;-15,94864972;-47,87818564;1115,7642;1103,236;-12,5282;-12,45;-0,0782;#REF!
2378L;91127;CENTRO-OESTE;DISTRITO FEDERAL;-15,94618972;-47,88426428;1102,4729;1090,005;-12,4679;-12,44;-0,0279;#REF!
9305U;91315;CENTRO-OESTE;DISTRITO FEDERAL;-15,78136442;-47,79069275;1072,5604;1059,904;-12,6564;-12,59;-0,0664;#REF!
9501V;96123;CENTRO-OESTE;DISTRITO FEDERAL;-15,92743372;-47,83373064;1168,3814;1155,874;-12,5074;-12,53;0,0226;#REF!
1236J;92840;CENTRO-OESTE;GOIÁS;-18,76971586;-51,34813883;481,3955;474,547;-6,8485;-6,9;0,0515;#REF!
1256H;91309;CENTRO-OESTE;GOIÁS;-15,85154381;-50,09238836;665,713;657,969;-7,744;-7,6;-0,144;#REF!
1256L;92846;CENTRO-OESTE;GOIÁS;-15,80511681;-50,12075675;523,1271;515,346;-7,7811;-7,59;-0,1911;#REF!
1282V;92848;CENTRO-OESTE;GOIÁS;-14,49316617;-50,06449125;416,984;407,44;-9,544;-9,65;0,106;#REF!
1287S;92842;CENTRO-OESTE;GOIÁS;-17,12841953;-51,22429592;851,1188;846,014;-5,1048;-5,02;-0,0848;#REF!
1288T;92841;CENTRO-OESTE;GOIÁS;-17,57456722;-51,09085408;807,189;801,734;-5,455;-5,3;-0,155;#REF!
1357V;92849;CENTRO-OESTE;GOIÁS;-13,27299408;-50,16257308;331,686;319,143;-12,543;-12,43;-0,113;#REF!
2269L;92603;CENTRO-OESTE;GOIÁS;-14,181619;-48,076216;495,0596;479,786;-15,2736;-15,2;-0,0736;#REF!
2269M;92602;CENTRO-OESTE;GOIÁS;-14,160942;-48,075583;535,3635;520,118;-15,2455;-15,18;-0,0655;#REF!
2326G;92613;CENTRO-OESTE;GOIÁS;-16,69019336;-49,25344933;800,9625;791,146;-9,8165;-9,59;-0,2265;#REF!
3200V;92858;CENTRO-OESTE;GOIÁS;-16,93117481;-48,37079414;957,488;946,032;-11,456;-11,34;-0,116;#REF!
3254X;92604;CENTRO-OESTE;GOIÁS;-13,73127289;-48,14017025;333,3172;318,692;-14,6252;-14,46;-0,1652;#REF!
3254Z;92622;CENTRO-OESTE;GOIÁS;-13,88602272;-48,15077025;702,433;687,819;-14,614;-14,52;-0,094;#REF!
3261L;92713;CENTRO-OESTE;GOIÁS;-18,38840811;-49,06876725;523,3435;511,929;-11,4145;-11,22;-0,1945;#REF!
651J;92839;CENTRO-OESTE;GOIÁS;-18,21658981;-49,73742794;630,4158;621,797;-8,6188;-8,6;-0,0188;#REF!
663Z;92620;CENTRO-OESTE;GOIÁS;-14,527108;-49,105316;527,6151;515,362;-12,2531;-12,22;-0,0331;#REF!
674V;92861;CENTRO-OESTE;GOIÁS;-13,43526506;-49,14453411;397,064;384,915;-12,149;-12,02;-0,129;#REF!
700H;92844;CENTRO-OESTE;GOIÁS;-15,86444667;-50,86918836;322,2599;315,915;-6,3449;-6,15;-0,1949;#REF!
701Z;92845;CENTRO-OESTE;GOIÁS;-15,93387211;-50,14003242;490,3529;482,844;-7,5089;-7,32;-0,1889;#REF!
708E;92838;CENTRO-OESTE;GOIÁS;-17,14992753;-50,01745597;597,3262;589,237;-8,0892;-7,85;-0,2392;#REF!
717Z;92843;CENTRO-OESTE;GOIÁS;-17,35721675;-52,67941297;858,4669;855,003;-3,4639;-3,28;-0,1839;#REF!
1045V;92817;CENTRO-OESTE;MATO GROSSO;-15,65897883;-57,27045875;205,4987;210,809;5,3103;5,35;-0,0397;#REF!
1202K;92722;CENTRO-OESTE;MATO GROSSO;-17,09718;-54,760817;475,4488;477,443;1,9942;1,67;0,3242;#REF!
1215Z;90404;CENTRO-OESTE;MATO GROSSO;-10,185202;-54,945859;292,5947;283,022;-9,5727;-9,99;0,4173;#REF!
1220P;90295;CENTRO-OESTE;MATO GROSSO;-12,67283933;-55,79434469;322,027;319,193;-2,834;-2,62;-0,214;#REF!
1225B;92803;CENTRO-OESTE;MATO GROSSO;-15,48254008;-52,20313072;319,3291;314,148;-5,1811;-5,08;-0,1011;#REF!
1268V;92805;CENTRO-OESTE;MATO GROSSO;-11,762609;-51,961458;361,4682;349,278;-12,1902;-11,86;-0,3302;#REF!
1273L;92806;CENTRO-OESTE;MATO GROSSO;-10,54468183;-53,58310378;335,3922;323,324;-12,0682;-11,8;-0,2682;#REF!
